_id,circuitId,name,city,country,position.latitude,position.longitude,position.altitude,url
647cb1033901a9ad23c06a85,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-178.37.00,160.08.00,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
647cb1033901a9ad23c06a86,2,Sepang International Circuit,Kuala Lumpur,Malaysia,1270.03.00,113.18.00,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit
647cb1033901a9ad23c06a87,3,Bahrain International Circuit,Sakhir,Bahrain,31.25.00,135.06.00,7,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
647cb1033901a9ad23c06a88,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57.00,437.11.00,109,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
647cb1033901a9ad23c06a89,5,Istanbul Park,Istanbul,Turkey,198.37.00,35.45.00,130,http://en.wikipedia.org/wiki/Istanbul_Park
647cb1033901a9ad23c06a8a,6,Circuit de Monaco,Monte-Carlo,Monaco,165.27.00,707.56.00,7,http://en.wikipedia.org/wiki/Circuit_de_Monaco
647cb1033901a9ad23c06a8b,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-160.08.00,13,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
647cb1033901a9ad23c06a8c,8,Circuit de Nevers Magny-Cours,Magny Cours,France,190.02.00,275.41.00,228,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
647cb1033901a9ad23c06a8d,9,Silverstone Circuit,Silverstone,UK,65.06.00,-29.14.00,153,http://en.wikipedia.org/wiki/Silverstone_Circuit
647cb1033901a9ad23c06a8e,10,Hockenheimring,Hockenheim,Germany,103.38.00,951.03.00,103,http://en.wikipedia.org/wiki/Hockenheimring
647cb1033901a9ad23c06a8f,11,Hungaroring,Budapest,Hungary,143.29.00,60.26.00,264,http://en.wikipedia.org/wiki/Hungaroring
647cb1033901a9ad23c06a90,12,Valencia Street Circuit,Valencia,Spain,115.29.00,-5527.47.00,4,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
647cb1033901a9ad23c06a91,13,Circuit de Spa-Francorchamps,Spa,Belgium,122.52.00,1623.59.00,401,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
647cb1033901a9ad23c06a92,14,Autodromo Nazionale di Monza,Monza,Italy,147.36.00,477.31.00,162,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
647cb1033901a9ad23c06a93,15,Marina Bay Street Circuit,Marina Bay,Singapore,49.34.00,117.24.00,18,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
647cb1033901a9ad23c06a94,16,Fuji Speedway,Oyama,Japan,96.57.00,153.27.00,583,http://en.wikipedia.org/wiki/Fuji_Speedway
647cb1033901a9ad23c06a95,17,Shanghai International Circuit,Shanghai,China,87.29.00,121.22.00,5,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
647cb1033901a9ad23c06a96,18,Autódromo José Carlos Pace,São Paulo,Brazil,-140.16.00,-162.37.00,785,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
647cb1033901a9ad23c06a97,19,Indianapolis Motor Speedway,Indianapolis,USA,52.15.00,-125.07.00,223,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
647cb1033901a9ad23c06a98,20,Nürburgring,Nürburg,Germany,105.56.00,163.55.00,578,http://en.wikipedia.org/wiki/N%C3%BCrburgring
647cb1033901a9ad23c06a99,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,101.19.00,130.27.00,37,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
647cb1033901a9ad23c06a9a,22,Suzuka Circuit,Suzuka,Japan,174.31.00,145.01.00,45,http://en.wikipedia.org/wiki/Suzuka_Circuit
647cb1033901a9ad23c06a9b,80,Las Vegas Strip Street Circuit,Las Vegas,United States,55.07.00,-117.53.00,\N,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
647cb1033901a9ad23c06a9c,24,Yas Marina Circuit,Abu Dhabi,UAE,101.52.00,154.31.00,3,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
647cb1033901a9ad23c06a9d,25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-149.43.00,-134.33.00,8,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
647cb1033901a9ad23c06a9e,26,Circuito de Jerez,Jerez de la Frontera,Spain,154.03.00,-62.57.00,37,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
647cb1033901a9ad23c06a9f,27,Autódromo do Estoril,Estoril,Portugal,163.06.00,-665.57.00,130,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
647cb1033901a9ad23c06aa0,28,Okayama International Circuit,Okayama,Japan,49.15.00,137.41.00,266,http://en.wikipedia.org/wiki/TI_Circuit
647cb1033901a9ad23c06aa1,29,Adelaide Street Circuit,Adelaide,Australia,-188.32.00,148.17.00,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
647cb1033901a9ad23c06aa2,30,Kyalami,Midrand,South Africa,-189.54.00,40.47.00,1460,http://en.wikipedia.org/wiki/Kyalami
647cb1033901a9ad23c06aa3,31,Donington Park,Castle Donington,UK,190.26.00,-626.28.00,88,http://en.wikipedia.org/wiki/Donington_Park
647cb1033901a9ad23c06aa4,32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,86.22.00,-114.07.00,2227,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
647cb1033901a9ad23c06aa5,33,Phoenix street circuit,Phoenix,USA,107.39.00,-113.15.00,345,http://en.wikipedia.org/wiki/Phoenix_street_circuit
647cb1033901a9ad23c06aa6,34,Circuit Paul Ricard,Le Castellet,France,84.46.00,1324.27.00,432,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
647cb1033901a9ad23c06aa7,35,Korean International Circuit,Yeongam County,Korea,156.13.00,132.57.00,0,http://en.wikipedia.org/wiki/Korean_International_Circuit
