_id,resultId,raceId,driverId,constructorId,carNumber,grid,position,positionText,points,laps,time,milliseconds,fastestLap,fastestLapTime,fastestLapSpeed,statusId
647ccb1c3901a9ad23c0fe57,1,18,1,1,22,1,1,1,10,58,1:34:50.616,5690616,39,1:27.452,223.00.00,1
647ccb1c3901a9ad23c0fe58,2,18,2,2,3,5,2,2,8,58,+5.478,5696094,41,1:27.739,226.46.00,1
647ccb1c3901a9ad23c0fe59,3,18,3,3,7,7,3,3,6,58,+8.163,5698779,41,1:28.090,227.59.00,1
647ccb1c3901a9ad23c0fe5a,4,18,4,4,5,11,4,4,5,58,+17.181,5707797,58,1:28.603,222.44.00,1
647ccb1c3901a9ad23c0fe5b,5,18,5,1,23,3,5,5,4,58,+18.014,5708630,43,1:27.418,224.25.00,1
647ccb1c3901a9ad23c0fe5c,6,18,6,3,8,13,6,6,3,57,\N,\N,50,1:29.639,228.14.00,11
647ccb1c3901a9ad23c0fe5d,7,18,7,5,14,17,7,7,2,55,\N,\N,22,1:29.534,216.44.00,5
647ccb1c3901a9ad23c0fe5e,8,18,8,6,1,15,8,8,1,53,\N,\N,20,1:27.903,220.00.00,5
647ccb1c3901a9ad23c0fe5f,9,18,9,2,4,2,\N,R,0,47,\N,\N,15,1:28.753,216.40.00,4
647ccb1c3901a9ad23c0fe60,10,18,10,7,12,18,\N,R,0,43,\N,\N,23,1:29.558,215.46.00,3
647ccb1c3901a9ad23c0fe61,11,18,11,8,18,19,\N,R,0,32,\N,\N,24,1:30.892,210.38.00,7
647ccb1c3901a9ad23c0fe62,12,18,12,4,6,20,\N,R,0,30,\N,\N,20,1:31.384,223.07.00,8
647ccb1c3901a9ad23c0fe63,13,18,13,6,2,4,\N,R,0,29,\N,\N,23,1:28.175,224.30.00,5
647ccb1c3901a9ad23c0fe64,14,18,14,9,9,8,\N,R,0,25,\N,\N,21,1:29.502,218.00.00,4
647ccb1c3901a9ad23c0fe65,15,18,15,7,11,6,\N,R,0,19,\N,\N,18,1:29.310,225.38.00,10
647ccb1c3901a9ad23c0fe66,16,18,16,10,20,22,\N,R,0,8,\N,\N,8,1:32.021,214.41.00,9
647ccb1c3901a9ad23c0fe67,17,18,17,9,10,14,\N,R,0,0,\N,\N,\N,\N,\N,4
647ccb1c3901a9ad23c0fe68,18,18,18,11,16,12,\N,R,0,0,\N,\N,\N,\N,\N,4
647ccb1c3901a9ad23c0fe69,19,18,19,8,19,21,\N,R,0,0,\N,\N,\N,\N,\N,4
647ccb1c3901a9ad23c0fe6a,20,18,20,5,15,9,\N,R,0,0,\N,\N,\N,\N,\N,4
647ccb1c3901a9ad23c0fe6b,21,18,21,10,21,16,\N,R,0,0,\N,\N,\N,\N,\N,4
647ccb1c3901a9ad23c0fe6c,22,18,22,11,17,10,\N,D,0,58,\N,\N,44,1:28.736,217.21.00,2
647ccb1c3901a9ad23c0fe6d,23,19,8,6,1,2,1,1,10,56,1:31:18.555,5478555,37,1:35.405,211.38.00,1
